Crime Type,Incident Report Number
PROSTITUTION,300
,5
ASSIST EMS,202
VOCO AMPLIFIED MUSIC/VEHICLE,340
TERRORISTIC THREAT,1047
BOMB THREAT,32
OUT OF CITY MURDER,6
CRASH/AUTO VS BICYCLE,17
DISTRICT REPRESENTATIVE,5
TELECOMMUNICATION CRIMES/OTHER,5
FORGERY - OTHER,126
SURVEILLANCE ASSIGN,2
CRASH/NO INJURY,322
DRIVING WHILE LICENSE INVALID,1932
VIOL CITY ORDINANCE - DOG,191
BURGLARY NON RESIDENCE,2114
OTHER FIRE,29
DEST OF IMPOUNDED PROP-EVIDEN,1
TRAFFIC VIOL/OTHER,224
CRIMINAL TRESPASS,3306
DEL MARIJUANA,14
SPEC ASSIGN/OTHER,3
UCW LICENSE PREMISE,8
DEL OF DANG DRUG,1
BURGLARY OF RESIDENCE,6305
ACCIDENTAL INJURY,84
ASSIST FIRE DEPT,18
CRED CARD ABUSE BY FORGERY,594
DISRUPTIVE ACTS AT SCHOOLS,1
SEX OFFENDER COMPLIANCE CHECK,21
VIOL CIVIL RIGHTS PRISONER,1
PROBATION VIOL,14
INJURY TO ELDERLY PERSON,14
DATING DISTURBANCE,554
LITTERING,136
IDENTITY THEFT,1275
PUBLIC INTOXICATION,5460
DOC DISPLAY FIREARM-PUB PLACE,51
ROAD RAGE,144
ROBBERY BY ASSAULT,422
THEFT OF AUTO PARTS,315
ACCIDENTAL DEATH,93
AIRPORT - BOMB THREAT,1
FALSE ALARM OR REPORT,84
WEAPON VIOL - OTHER,28
CRIMINAL MISCHIEF BY ARSON,18
AUTO THEFT INFORMATION,320
ACCIDENTAL SHOOTING INJURY,8
COMPELLING PROSTITUTION,2
FORGERY OF IDENTIFICATION,22
FALSE REPORT TO PEACE OFFICER,48
BURGLAR ALARM,30
REQUEST TO LOCATE,245
VIOL OF COURT ORDER-NON EPO-PO,637
PROHIBITED SEXUAL CONDUCT,1
HIGH SPEED ROADWAY HAZ/DEBRIS,97
INJURED ANIMAL-FIREARM USED,7
EVADING / FOOT,140
DELIVER MESSAGE,1
DECEASED PERSON,160
DEL OF ALCOHOL TO MINOR,5
CONTROLLED SUB VIOL - OTHER,1
AGG KIDNAPPING,4
POSS CRIMINAL INSTRUMENT,4
VIOL CITY ORDINANCE -  GAME RM,12
RAPE,227
AIRPORT - SUSPICIOUS PKG/ITEM,5
IN-SERVICE TRAINING/APD,2
ASSAULT BY THREAT,816
DISRUPTING MEETING/PROCESSION,2
FICTITIOUS LICENSE PLATE,47
FALSE ROBBERY ALARM,15
VIOL VEH REGISTRATION - OTHER,15
PICK UP ITEM/EVIDENCE,8
ACCIDENTAL SHOOTING NON-INJURY,7
TAMPERING WITH ID NUMBER,1
THEFT OF SERVICE,933
FORGERY BY MAKING,194
BURGLARY OF VEHICLE,14437
THEFT OF TELECOMMUNICATION SRV,10
VIOL STATE LAW - OTHER,583
FEDERAL VIOL/OTHER,110
DOC UNREASONABLE NOISE,95
THEFT BY SHOPLIFTING,1494
PROMOTION OF PROSTITUTION,6
URINATING IN PUBLIC PLACE,210
IMMIGRATION/NAT. ACT,11
CONT VIOL AGAINST FAMILY,4
NUISANCE ABATEMENT,48
CRED CARD ABUSE - EXPIR-CANCEL,5
SEXUAL ASSAULT,141
DEADLY CONDUCT FAM/DATE VIOL,2
WARRANT ARREST NON TRAFFIC,3394
FIELD OBSERVATION,9
LOOSE LIVESTOCK,2
HOMICIDE INFORMATION,14
UNLAWFUL CARRYING WEAPON,147
PURSE SNATCHING,8
ABANDONED BICYCLES/PARTS,2
AUTO THEFT,2322
EVADING ARREST,1
REQUEST TO APPREHEND,3092
CRIMINAL TRESPASS/TRANSIENT,1350
HARASSMENT,5257
DOC EXPOSURE,63
MURDER,4
TERRORISTIC THREAT-FAM/DAT VIO,254
CRASH/EMS,13
TOBACCO VIOL - AGE 17,12
PIGEON DROP,13
MULTIPLE TRAFFIC VIOL,17
ENGAGING IN ORGANIZED CRIME,1
AGG SEXUAL ASSAULT,7
FORCED SODOMY,51
HARASSMENT ONLINE,189
CRASH/SERIOUS BODILY INJURY,47
ABANDONED VEH/GARAGEKEEPER,25
DEL CONTROLLED SUB/OTHER,13
OBTAIN CONTROLLED SUB BY FRAUD,95
INJURY DISABLED INDIVIDUAL,20
DOC FIGHTING,213
THEFT BY EXTORTION,3
OFFICER INVOLVED INJURY,1
HAZARDOUS TRAFFIC CITATION,2
FAILURE TO REG AS SEX OFFENDER,49
TRAFFIC HAZARD/DEBRIS,630
RECKLESS DRIVING,145
VIOL CITY ORDINANCE -FIREWORK,6
FAILURE TO IDENTIFY,430
TAMPERING WITH CONSUMER PROD,5
THEFT FROM PERSON,267
PAROLE VIOL,99
DOC DISCHARGE GUN - PUB PLACE,24
CRED CARD ABUSE - OTHER,877
ABAND VEH  (STORAGE FACILITY),185
ARSON INFORMATION,20
AIRPORT PLACES WEAPON PROHIBIT,27
COUNTERFEITING INFORMATION,82
ARSON,74
LOST LICENSE PLATE,25
DUMPING REFUSE NEAR HIGHWAY,18
THEFT- APPROPRIATE STOLEN PROP,8
MONEY LAUNDERING,1
FAIL DISPLAY HANDGUN LICENSE,1
SOLICITATION - BEGGING,1
MISAPPLY FIDUCIARY PROP,3
OUT OF CITY MISSING PERSON,9
COUNTERFEITING,399
DISTURBANCE - OTHER,3349
ANIMAL BITE,174
OUT OF CITY THEFT,11
THEFT INFORMATION,748
UNLAWFUL RESTRAINT,18
THEFT FROM AUTO,610
FICTITIOUS INSURANCE DOCUMENT,1
GAMBLING PROMOTION,6
OUT OF CITY ROBBERY,4
EVADING VEHICLE,109
CRASH/FATALITY,24
CRASH/FAIL STOP AND RENDER AID,215
OUT OF CITY AGG ASSAULT,6
NON HAZARDOUS TRAFFIC VIOL,3
DOC WINDOW PEEPING - HOTEL,2
SECURING EXEC-DOC BY DECEPTION,2
AGG RAPE,19
FOUND ADULT,10
VIOL OF EMERG PROTECTIVE ORDER,209
RESISTING ARREST OR SEARCH,66
FRAUD FILING FINANCE STATEMENT,2
MANF CONTROLLED SUB- SYN NARC,2
FRAUD DESTRUCTION OF A WRITING,8
METRO TAC REG 1,1
VIOL OF PARK CURFEW,94
THEFT OF HEAVY EQUIPMENT,26
ASSAULT WITH INJURY,2434
POSS CONTROLLED SUB/NARCOTIC,1502
DOC ABUSE OR THREAT,8
AGG FORCED SODOMY,3
FRAUD - OTHER,790
DOC WINDOW PEEPING - PUB AREA,6
AIRPORT - FEDERAL VIOL,44
LIQUOR LAW VIOLATION/OTHER,151
DOC DISCHARGE GUN - PUB ROAD,5
TAMPERING WITH EVIDENCE,28
OUT OF CITY BURGLARY,2
OBSCENITY,1
AGG ASLT W/MOTOR VEH FAM/DAT V,34
PEDESTRIAN ON ROADWAY,804
FORGERY AND PASSING,805
VIOL OCCUPATIONAL DRIV LICENSE,10
POCKET PICKING,1
VIOL CITY ORDINANCE - AIRPORT,1
FAMILY DISTURBANCE,8188
MANSLAUGHTER,2
FORGERY BY ALTERATION,27
OUT OF CITY OFFENSE,23
ABANDONED PROP,40
UNL CARRY HANDGUN-LICENSE HOLD,5
THEFT BY EMBEZZLEMENT,25
ILLEGAL LABELLING OF RECORDING,11
PARKING CITATION,77
HAZING,2
LEVEL 2 RESPONSE TO RESISTANCE,1
INTERFER W/PO SERVICE ANIMALS,13
VIOL WATER SAFETY ACT,1
HINDER SECURED CREDITORS,64
FALSE BURGLAR ALARM,309
VIOL GLASS CONTAINER,13
AIRPORT - SUSPICIOUS PERSON,1
BURGLARY OF VEH INFORMATION,397
INTERFER PUBLIC DUTIES,22
DWI 2ND,539
THEFT,14192
DEBIT CARD ABUSE,1131
INDECENT EXPOSURE,168
RECKLESS DAMAGE,137
FOUND PROPERTY,1409
THEFT/TILL TAPPING,5
FIREARMS,363
VEH MOVED NOT IMPOUNDED,1
POSS MARIJUANA,2963
SALVAGE INSPECTION,111
DEATH DUE TO NATURAL CAUSES,321
DANGEROUS ANIMAL-FIREARM USED,6
VIOL CITY ORDINANCE - WRECKER,244
DEADLY CONDUCT,68
DANG DRUG VIOL - OTHER,5
ACCIDENTAL SHOOTING DEATH,1
DEL CONTROLLED SUB/NARCOTIC,489
BANK KITING,3
CRIMINAL TRESPASS/HOTEL,184
INHALANT ABUSE,7
FAMILY DISTURBANCE/PARENTAL,226
DWI - DRUG RECOGNITION EXPERT,8
UNREGISTERED MOTOR VEH,5
AWOL,1
JUNKED/NUISANCE VEHICLE,205
DANGEROUS ANIMAL,86
EMERGENCY PROTECTIVE ORDER,1911
VIOL CITY ORDINANCE - CURFEW,11
CRASH/AUTO VS PEDESTRIAN,50
VOCO - ALCOHOL  CONSUMPTION,508
IMPOUNDED VEH,955
BOAT CRASH/ACCIDENT,4
IMPROPER CONTACT-SEX ASLT VICT,2
PROWLER,27
VIOL CITY ORDINANCE - OTHER,1231
FELONY ENHANCEMENT/ASSLT W/INJ,432
POSS DANG DRUG,110
FALSE STATEMENT -OBTAIN CREDIT,38
AGG ASSAULT ON PUBLIC SERVANT,10
AIRPLANE EMERGENCY,3
DOC ABUSIVE LANGUAGE,53
CRASH/MANSLAUGHTER,2
TEMP EX PARTE  ORDER,419
AGG ROBBERY BY ASSAULT,21
FICTITIOUS DRIVERS LICENSE/ID,17
IMPOUNDED ANIMAL,52
TRANSPORT PRISONER,4
UNLAWFUL INTERCEPTION,3
ACCIDENTAL DROWNING DEATH,4
SHOTS FIRED,36
ASSAULT INFO (FAMILY VIOLENCE,115
PUBLIC LEWDNESS,37
HARASSMENT OF A PUBLIC SERVANT,17
INJ TO DISABLED  FAM/DATE VIOL,15
UNLAWFUL RESTRAINT FAM/DAT VIO,7
THEFT OF BICYCLE,1162
ROBBERY ALARM,1
ROBBERY INFORMATION,203
ASSAULT INFORMATION,847
DESERTION,1
ANIMAL BITE - FIREARM USED,5
METRO TAC REG 3,29
DRIVERS LICENSE VIOL/OTHER,23
VIOL CITY ORDINANCE - TITLE 10,3
AGG SODOMY,2
RACING ON HIGHWAY,9
NON HAZ TRAFFIC CITATION,26
FORGERY- CERTIFICATE OF TITLE,10
ASSAULT BY THREAT FAM/DATING,127
ASSAULT BY CONTACT,1441
STALKING,117
THEFT OF METAL,433
TAKE WEAPON FRM POLICE OFFICER,5
AIRPORT - FOUND MARIJUANA,1
BURG OF RES - FAM/DATING ASLT,48
VIOL OF PROTECTIVE ORDER,313
BURGLARY OF COIN-OP MACHINE,110
COMMUNITY POLICE,2
VIOL STAY AWAY ORDER,1
APPLICATION FOR PERMIT OR LIC,223
ALTERED DRIVERS LICENSE,1
CRASH/PRIVATE PROPERTY,78
FOUND CONTROLLED SUBSTANCE,302
ASSIST COMPLAINANT,677
MANF CONTROLLED SUB - OTHER,8
LOST PROP,3679
THEFT BY CHECK,93
OFFICER INVOLVED INCIDENT,1
NO DRIVERS LICENSE,36
INJURED ANIMAL,10
OPEN DOOR/WINDOW,92
FOUND FIREARMS,74
ASSAULT BY CONTACT FAM/DATING,437
CRASH/CITY VEHICLE,275
VEHICLE FIRE,33
STRUCTURE FIRE,56
CYBER CRIMES,5
MISSING ADULT,350
AGG ASSAULT,731
VOCO SIT/LIE/RIDE DTA WALKWAY,111
POSS CONTROLLED SUB/SYN NARC,79
CRASH/LEAVING THE SCENE,8059
AGG ASSAULT FAM/DATE VIOLENCE,435
DWI,4660
HINDERING APPREHENSION,8
CAREER CRIMINAL UNIT,274
BREACH OF COMPUTER SECURITY,88
CUSTODY ARREST TRAFFIC WARR,4524
BURGLARY INFORMATION,653
AUTO SALVAGE DEALERS,47
METRO TAC REG 2,4
SUSPICIOUS VEH,293
ASSIST CITY DEPT/OTHER,27
AGG ASLT STRANGLE/SUFFOCATE,308
OUT OF CITY AUTO THEFT,171
SUSPICIOUS PERSON,1426
ABANDONED VEH,1307
KIDNAPPING,23
DUI - AGE 17 TO 20,67
DRIVING WHILE INTOX / FELONY,292
EVADING / VEHICLE PURSUIT,52
TAMPERING WITH GOV RECORD,19
HAZARDOUS TRAFFIC VIOL,2
THEFT BY FALSE PRETEXT/BUNCO,7
DISPOSAL OF SOLID WASTE,6
VIOL CITY ORDINANCE - SOUND,9
CRIMINAL MISCHIEF INFORMATION,450
BRIBERY,1
VIOL CITY ORDINANCE - SMOKING,2
EXPLOSIVE ORDNANCE DISPOSAL,66
HIGH TECH CRIME,4
UNAUTHORIZED USE OF VEH,619
FOUND LICENSE PLATE,13
BAIL JUMPING/FAIL TO APPEAR,2
ACCIDENTAL DRUG OVERDOSE,94
DAMAGE CITY PROP,422
AGG ROBBERY/DEADLY WEAPON,580
ROBBERY BY THREAT,101
NO DRIVERS LICENSE 3RD OFFENSE,2
AIRPORT INFORMATION,13
GAMBLING,49
OBSTRUCTION HIGHWAY/PASSAGEWA,6
DELIVERY OF PRESCRIPTION FORM,1
RECKLESS CONDUCT,5
FICTITIOUS INSPECTION STICKER,16
VIOL OF BOND CONDITIONS,3
ISSUANCE OF BAD CHECK,2
POSSESSION OF FORGED WRITING,1
ASSIST OTHER POLICE AGENCY,134
POSS OF DRUG PARAPHERNALIA,1530
PROTECTIVE ORDER,555
SUSPICIOUS NOISE,10
POSS OF FIREARM BY FELON,50
THEFT OF HEAVY EQUIPMENT INFO,2
VIOL OF CAMPING ORDINANCE,229
CIVIL DISTURBANCE/DEMO,44
CRIME ALERT/THEFT,1
DEL CONTROLLED SUB/SYN NARC,9
CRUELTY TO ANIMALS,316
THEFT OF VEHICLE/OTHER,188
OBTAIN DANG DRUG BY FRAUD,4
OPERATING A VESSEL/INTOXICATED,1
PARKING VIOLATION,487
INJ TO ELDERLY   FAM/DATE VIOL,24
AGG ASLT ENHANC STRANGL/SUFFOC,59
POSS OF ALCOHOL - AGE 17 TO 20,129
REGISTERED SEX OFFENDER,170
ATTACK ON ASSISTANCE ANIMAL,1
SEXUAL ASSAULT INFORMATION,99
AGG ASSAULT WITH MOTOR VEH,108
THEFT OF LICENSE PLATE,377
IMPERSONATING PUBLIC SERVANT,29
DOC WINDOW PEEPING-RESIDENCE,47
OUT OF CITY SEXUAL ASSAULT,34
APPLIC TO REVOKE PROBATION,229
SID,6
BLOCKED DRIVE/ROADWAY,34
VIOL TEMP EX PARTE  ORDER,7
THEFT FROM BUILDING,36
LEVEL 3 RESPONSE TO RESISTANCE,7
CRIMINAL MISCHIEF,7390
STALKING INFORMATION,24
GRAFFITI,728
POSS OF GAMBLING PARAPHERNALIA,1
POSS CONTROLLED SUB/OTHER,111
REG. SEX OFFENDER INFORMATION,116
POSS OF PROHIBITED WEAPON,91
ASSAULT W/INJURY-FAM/DATE VIOL,4185
VOCO SOLICITATION PROHIBIT,988
SMUGGLING ILLEGAL ALIEN,8
CRIMINAL NONSUPPORT,4
ILLUMIN AIRCRAFT INTENSE LIGHT,8
CRASH/INTOXICATION ASSAULT,18
DOC OFFENSIVE GESTURE,20
CRIMINAL TRESPASS NOTICE,143
ASSAULT ON PUBLIC SERVANT,78
INTER EMERG PHONECALL FAM/DATE,32
ASSIST MOTORIST/PUBLIC,23
HIGH SPEED ROADWAY STALL,2
ESCAPE FROM CUSTODY,18
SUICIDE,86
INTERFERING W/EMERG PHONE CALL,16
